Building Use Type,Building Use Subtype,Continent,Building Project Type,Floors Above Ground,Total Embodied Carbon PER m2
Non-residential,Mixed,Europe,New,3.5,640.75
Non-residential,Mixed,Europe,New,10.5,638.53
Non-residential,Education,Europe,New,10.5,634.81
Non-residential,Education,Europe,New,10.5,631.08
Non-residential,Public Order and Safety,Europe,New,10.5,627.36
Residential,Other ,Europe,New,10.5,623.64
Residential,Other ,Europe,Renovation,10.5,619.91
Non-residential,Office,Europe,New,10.5,616.19
Non-residential,Office,Europe,New,10.5,612.46
Non-residential,Office,Europe,New,10.5,608.74
Non-residential,Office,Europe,New,10.5,605.01
Non-residential,Office,Europe,New,10.5,601.29
Non-residential,Office,Europe,New,10.5,597.57
Non-residential,Public Assembly,Europe,New,10.5,597.0
Non-residential,Office,Europe,New,10.5,593.84
Non-residential,Office,Europe,New,10.5,590.12
Non-residential,Public Assembly,Europe,New,10.5,586.39
Non-residential,Mixed,Europe,New,10.5,582.67
Non-residential,Mixed,Europe,New,10.5,578.95
Non-residential,Mixed,Europe,New,10.5,575.22
Non-residential,Mixed,Europe,New,10.5,571.5
Non-residential,Mixed,Europe,New,10.5,567.77
Non-residential,Office,Europe,Renovation,10.5,564.05
Residential,Other ,Europe,New,10.5,560.32
Residential,Other ,Europe,New,10.5,556.6
Non-residential,Education,Europe,New,10.5,552.88
Non-residential,Office,Europe,New,10.5,549.15
Non-residential,Mercantile,Europe,New,10.5,545.43
Residential,Other ,Europe,New,10.5,541.7
Non-residential,Office,Europe,New,10.5,537.98
Residential,Other ,Europe,New,10.5,536.48
Non-residential,Office,Europe,New,10.5,534.25
Non-residential,Mixed,Europe,New,10.5,530.53
Non-residential,Education,Europe,New,10.5,526.81
Non-residential,Education,Europe,New,10.5,523.08
Non-residential,Public Order and Safety,Europe,New,10.5,519.36
Residential,Other ,Europe,New,10.5,515.63
Residential,Other ,Europe,Renovation,10.5,511.91
Non-residential,Office,Europe,New,10.5,508.18
Non-residential,Office,Europe,New,10.5,504.46
Non-residential,Office,Europe,New,10.5,500.74
Non-residential,Office,Europe,New,10.5,497.01
Non-residential,Office,Europe,Renovation,10.5,496.21
Non-residential,Office,Europe,New,10.5,493.29
Non-residential,Office,Europe,New,10.5,489.56
Non-residential,Office,Europe,New,10.5,485.84
Non-residential,Office,Europe,New,10.5,482.12
Non-residential,Public Assembly,Europe,New,10.5,478.39
Non-residential,Mixed,Europe,New,10.5,474.67
Non-residential,Mixed,Europe,New,10.5,470.94
Non-residential,Mixed,Europe,New,10.5,467.22
Non-residential,Mixed,Europe,New,10.5,463.49
Non-residential,Mixed,Europe,New,10.5,459.77
Non-residential,Office,Europe,Renovation,10.5,456.05
Residential,Other ,Europe,New,10.5,452.32
Residential,Other ,Europe,New,10.5,448.6
Non-residential,Education,Europe,New,10.5,444.87
Non-residential,Office,Europe,New,10.5,441.15
Non-residential,Mercantile,Europe,New,10.5,437.42
Residential,Other ,Europe,New,10.5,433.7
Non-residential,Office,Europe,New,10.5,429.98
Non-residential,Office,Europe,New,10.5,426.25
Non-residential,Mixed,Europe,New,10.5,422.53
Non-residential,Education,Europe,New,10.5,418.8
Non-residential,Education,Europe,New,10.5,415.08
Non-residential,Public Order and Safety,Europe,New,10.5,411.36
Residential,Other ,Europe,New,10.5,407.63
Residential,Other ,Europe,Renovation,10.5,403.91
Non-residential,Office,Europe,New,10.5,400.18
Non-residential,Office,Europe,New,10.5,396.46
Non-residential,Office,Europe,New,10.5,392.73
Non-residential,Office,Europe,New,10.5,389.01
Non-residential,Office,Europe,New,10.5,385.29
Non-residential,Office,Europe,New,10.5,381.56
Non-residential,Office,Europe,New,10.5,377.84
Non-residential,Office,Europe,New,10.5,374.11
Non-residential,Public Assembly,Europe,New,10.5,370.39
Non-residential,Mixed,Europe,New,10.5,366.66
Non-residential,Mixed,Europe,New,10.5,362.94
Non-residential,Mixed,Europe,New,10.5,359.22
Non-residential,Mixed,Europe,New,10.5,355.49
Non-residential,Mixed,Europe,New,10.5,351.77
Non-residential,Office,Europe,Renovation,10.5,348.04
Residential,Other ,Europe,New,10.5,344.32
Non-residential,Education,Europe,New,3.5,341.86
Non-residential,Mixed,Europe,New,10.5,303.39
Non-residential,Mixed,Europe,New,10.5,273.55
Non-residential,Mixed,Europe,New,10.5,257.8
Non-residential,Mixed,Europe,New,10.5,247.03
Residential,Other ,Europe,New,10.5,220.02
Non-residential,Mixed,Europe,New,10.5,209.65
Residential,Other ,Europe,New,3.5,200.0
