Building Project Type,Primary Foundation Type,Primary Ground_Floor Type,Primary Vertical Element Type,Primary Horizontal Element Type,Primary Slab Type,Primary Cladding Type,Primary Heating Type,Primary Cooling Type,Primary Finishes Type,Primary Ventilation Type,Total Embodied Carbon PER m2
New built,Piles (pile caps),Suspended,Steel,Steel,Steel,Glazed/Curtain Wall,Other,Other,Shell and core,Other,308.9237419354838
New built,Piles (pile caps),Suspended,Steel,Steel,Steel,Glazed/Curtain Wall,Other,Other,Shell and core,Other,308.9237419354838
New built,Piles (pile caps),Suspended,Steel,Steel,Steel,Glazed/Curtain Wall,Other,Other,Shell and core,Other,308.9237419354838
New built,Piles (pile caps),Suspended,Steel,Steel,Steel,Glazed/Curtain Wall,Other,Other,Shell and core,Other,308.9237419354838
New built,Piles (pile caps),Suspended,Steel,Steel,Steel,Glazed/Curtain Wall,Other,Other,Shell and core,Other,308.9237419354838
New built,Piles (pile caps),Suspended,Steel,Steel,Steel,Glazed/Curtain Wall,Other,Other,Shell and core,Other,308.9237419354838
New built,Piles (pile caps),Suspended,Steel,Steel,Steel,Glazed/Curtain Wall,Other,Other,Shell and core,Other,308.9237419354838
New built,Piles (pile caps),Suspended,Steel,Steel,Steel,Glazed/Curtain Wall,Other,Other,Shell and core,Other,308.9237419354838
New built,Piles (pile caps),Suspended,Steel,Steel,Steel,Glazed/Curtain Wall,Other,Other,Shell and core,Other,308.9237419354838
New built,Piles (pile caps),Suspended,Steel,Steel,Steel,Glazed/Curtain Wall,Other,Other,Shell and core,Other,308.9237419354838
New built,Piles (pile caps),Suspended,Steel,Steel,Steel,Glazed/Curtain Wall,Other,Other,Shell and core,Other,308.9237419354838
New built,Piles (pile caps),Suspended,Steel,Steel,Steel,Glazed/Curtain Wall,Other,Other,Shell and core,Other,308.9237419354838
New built,Piles (pile caps),Suspended,Steel,Steel,Steel,Glazed/Curtain Wall,Other,Other,Shell and core,Other,308.9237419354838
New built,Piles (pile caps),Suspended,Steel,Steel,Steel,Glazed/Curtain Wall,Other,Other,Shell and core,Other,308.9237419354838
New built,Piles (pile caps),Suspended,Steel,Steel,Steel,Glazed/Curtain Wall,Other,Other,Shell and core,Other,308.9237419354838
New built,Piles (pile caps),Suspended,Steel,Steel,Steel,Glazed/Curtain Wall,Other,Other,Shell and core,Other,308.9237419354838
New built,Reinforced pads/strips,Suspended,Timber,Timber,Timber,Other,Other,Other,Other,Other,117.14012654890588
New built,Reinforced pads/strips,Suspended,Timber,Timber,Timber,Other,Other,Other,Other,Other,117.14012654890588
New built,Reinforced pads/strips,Suspended,Timber,Timber,Timber,Other,Other,Other,Other,Other,117.14012654890588
New built,Reinforced pads/strips,Suspended,Timber,Timber,Timber,Other,Other,Other,Other,Other,117.14012654890588
New built,Reinforced pads/strips,Suspended,Timber,Timber,Timber,Other,Other,Other,Other,Other,117.14012654890588
New built,Reinforced pads/strips,Suspended,Timber,Timber,Timber,Other,Other,Other,Other,Other,117.14012654890588
New built,Reinforced pads/strips,Suspended,Timber,Timber,Timber,Other,Other,Other,Other,Other,117.14012654890588
New built,Reinforced pads/strips,Suspended,Timber,Timber,Timber,Other,Other,Other,Other,Other,117.14012654890588
New built,Reinforced pads/strips,Suspended,Timber,Timber,Timber,Other,Other,Other,Other,Other,117.14012654890588
New built,Reinforced pads/strips,Suspended,Timber,Timber,Timber,Other,Other,Other,Other,Other,117.14012654890588
New built,Reinforced pads/strips,Suspended,Timber,Timber,Timber,Other,Other,Other,Other,Other,117.14012654890588
New built,Reinforced pads/strips,Suspended,Timber,Timber,Timber,Other,Other,Other,Other,Other,117.14012654890588
New built,Reinforced pads/strips,Suspended,Timber,Timber,Timber,Other,Other,Other,Other,Other,117.14012654890588
New built,Reinforced pads/strips,Suspended,Timber,Timber,Timber,Other,Other,Other,Other,Other,117.14012654890588
New built,Reinforced pads/strips,Suspended,Timber,Timber,Timber,Other,Other,Other,Other,Other,117.14012654890588
New built,Reinforced pads/strips,Suspended,Timber,Timber,Timber,Other,Other,Other,Other,Other,117.14012654890588
New built,Reinforced pads/strips,Suspended,Timber,Timber,Timber,Other,Other,Other,Other,Other,117.14012654890588
New built,Reinforced pads/strips,Suspended,Timber,Timber,Timber,Other,Other,Other,Other,Other,117.14012654890588
New built,Reinforced pads/strips,Suspended,Timber,Timber,Timber,Other,Other,Other,Other,Other,117.14012654890588
New built,Reinforced pads/strips,Suspended,Timber,Timber,Timber,Other,Other,Other,Other,Other,117.14012654890588
New built,Reinforced pads/strips,Suspended,Timber,Timber,Timber,Other,Other,Other,Other,Other,117.14012654890588
New built,Reinforced pads/strips,Suspended,Timber,Timber,Timber,Other,Other,Other,Other,Other,120.37206651604895
New built,Reinforced pads/strips,Suspended,Timber,Timber,Timber,Other,Other,Other,Other,Other,120.37206651604895
New built,Reinforced pads/strips,Suspended,Timber,Timber,Timber,Other,Other,Other,Other,Other,120.37206651604895
New built,Reinforced pads/strips,Suspended,Timber,Timber,Timber,Other,Other,Other,Other,Other,120.37206651604895
New built,Reinforced pads/strips,Suspended,Timber,Timber,Timber,Other,Other,Other,Other,Other,120.37206651604895
New built,Reinforced pads/strips,Suspended,Timber,Timber,Timber,Other,Other,Other,Other,Other,120.37206651604895
