Building Use Type,Building Use Subtype,Continent,Country,Total Users,Floors Above Ground,Floors Below Ground,Structure Type,Total Embodied Carbon PER m2
Residential,Multi-family house,Asia,China,568.4033698202834,16.0,0.0,missing,2958.499999999996
Residential,Multi-family house,Asia,China,40.0,4.0,0.0,missing,956.0
Residential,Multi-family house,Asia,China,40.0,26.0,0.0,missing,3196.0
Residential,Multi-family house,Asia,China,40.0,16.0,0.0,missing,3553.5000000000005
Residential,Multi-family house,Asia,China,2991.0,50.40853913603954,3.2631615175635917,missing,3739.4999999999995
Residential,Single family house,Asia,China,1.703383047563193,2.0,0.0,missing,2994.0
Residential,Multi-family house,Asia,China,84.38033378672247,4.0,0.0,missing,1235.9999999999993
Residential,Multi-family house,Asia,China,128.70747857920654,5.0,0.0,missing,1593.5
Residential,Single family house,Asia,China,2.0,1.0,0.0,missing,843.0
Residential,Single family house,Asia,China,2.0,1.0,0.0,missing,427.0
Residential,Multi-family house,Asia,Hong Kong,1636.4438814900373,40.0,0.0,missing,1675.9999999999998
Residential,Multi-family house,Asia,Hong Kong,1636.4438814900373,40.0,0.0,missing,1513.0
Residential,Multi-family house,Asia,Hong Kong,1636.4438814900373,40.0,0.0,missing,1432.0
Residential,Single family house,Asia,Indonesia,-39.14514651498293,1.0,0.0,missing,1153.5
Residential,Single family house,Asia,Indonesia,0.5555100139418272,2.0,0.0,missing,1288.9999999999993
Residential,Single family house,Asia,Indonesia,0.947466659568633,2.0,0.0,missing,1497.0
Residential,Single family house,Asia,Indonesia,-39.10315116009435,1.0,0.0,missing,771.9999999999998
Residential,Single family house,Asia,Indonesia,0.6674976269780615,2.0,0.0,missing,882.9999999999984
Residential,Single family house,Asia,Japan,1.272930659955179,2.0,0.0,missing,1000.0
Residential,Single family house,Asia,Japan,0.6639980140706712,2.0,0.0,missing,2691.5
Residential,Single family house,Asia,Japan,0.7374898851256972,2.0,0.0,missing,2867.5
Residential,Single family house,Asia,Japan,0.7374898851256972,2.0,0.0,missing,724.4999999999999
Residential,Single family house,Asia,Japan,134.29292116571537,4.108533078644717,0.31364590328548714,missing,365.99999999999966
Residential,Single family house,Asia,South Korea,134.29292116571537,4.108533078644717,0.31364590328548714,missing,441.4999999999994
Residential,Multi-family house,Asia,South Korea,835.9400994489483,20.0,0.0,missing,2711.0
Residential,Multi-family house,Asia,South Korea,835.9400994489483,20.0,0.0,missing,3244.999999999998
Residential,Multi-family house,Asia,South Korea,1355.048767521158,35.0,0.0,missing,2411.5
Residential,Multi-family house,Asia,South Korea,1355.048767521158,35.0,0.0,missing,2906.0
Residential,Multi-family house,Asia,South Korea,83.04698126900985,4.0,0.0,missing,2204.4999999999986
Residential,Multi-family house,Asia,South Korea,83.04698126900985,4.0,0.0,missing,2098.9999999999973
Residential,Multi-family house,Asia,South Korea,3166.4064632584423,54.888405603021305,3.317317263091626,missing,2048.0
Residential,Single family house,Asia,Malaysia,1.0839515629565426,2.0,0.0,missing,3754.0
Residential,Single family house,Asia,Thailand,0.7444891109404637,2.0,0.0,missing,2231.5
Residential,Single family house,Asia,Thailand,0.7444891109404637,2.0,0.0,missing,1639.0
Residential,Single family house,Asia,Thailand,0.7444891109404637,2.0,0.0,missing,678.0
Residential,Single family house,Asia,Thailand,0.7444891109404637,2.0,0.0,missing,1448.0
Residential,Single family house,Asia,Thailand,0.7444891109404637,2.0,0.0,missing,489.50000000000006
Residential,Single family house,Asia,Thailand,-0.78570627922565,2.0,0.0,missing,888.9999999999998
Residential,Single family house,Asia,Taiwan,-0.78570627922565,2.0,0.0,missing,557.4999999999977
Residential,Single family house,North America,USA,-38.65170109504204,1.0,0.0,missing,876.5
Residential,Single family house,North America,USA,1.3324240793806723,2.0,0.0,missing,2732.999999999995
Residential,Single family house,Europe,Switzerland,1.6438896281376998,2.0,0.0,missing,1378.999999999999
