Building Public ID,Building Type,Building Use,Building Location Region,Building New or Renovation,Building Area in Square Meters,Building Area in Square Feet,Building Storeys,Life Cycle Assessment Year,Life Cycle Assessment Reference Period,Life Cycle Assessment Source Code,Life Cycle Assessment Stages,Life Cycle Assessment Building Scope,Life Cycle Assessment Material Quantity,Embodied Carbon Whole Building Excluding Operational,Embodied Carbon Life Cycle Assessment Area Per Square Meter,Minimum Building Area in Square Meters,Maximum Building Area in Square Meters,Minimum Building Area in Square Feet,Maximum Building Area in Square Feet,Minimum Building Storeys,Maximum Building Storeys
A04,Residential,Other,,New,93 or less,"1,000 or less",1 to 6,2009,60,,A,SEI,N,23.85,268.52,#NAME?,93,#NAME?,1000,1,6
A04,Residential,Other,,New,94 to 465,"1,001 to 5,000",1 to 6,2009,60,,A,SEI,N,44.07,267.09,94,465,1001,5000,1,6
A04,Residential,Other,,New,94 to 465,"1,001 to 5,000",1 to 6,2009,60,,A,SEI,N,27.68,266.19,94,465,1001,5000,1,6
A04,Residential,Other,,New,94 to 465,"1,001 to 5,000",1 to 6,2009,60,,A,SEI,N,39.32,264.6,94,465,1001,5000,1,6
A04,Residential,Other,Europe,New,4646 to 9290,"50,001 to 100,000",7 to 14,,50,,AB,SFEI,N,2303.42,261.34,4646,9290,500001,100000,7,14
A04,Commercial,Office,North America,New,4646 to 9290,"50,001 to 100,000",1 to 6,2012,60,,BCD,SFEI,N,1678,259.35,4646,9290,500001,100000,1,6
A04,Commercial,Education,North America,New,46452 to 92903,"500,001 to 1 million",1 to 6,2009,,,A,SF,N,6818.4,259,46452,92903,500001,1000000,1,6
A04,Residential,Other,,New,93 or less,"1,000 or less",1 to 6,2009,60,,A,SEI,N,20.04,254.28,#NAME?,93,#NAME?,1000,1,6
A04,Commercial,Education,North America,New,46452 to 92903,"500,001 to 1 million",1 to 6,2009,,,A,SF,N,4889.72,254,46452,92903,500001,1000000,1,6
A04,Residential,Other,,New,93 or less,"1,000 or less",1 to 6,2009,60,,A,SEI,N,22.77,253.54,#NAME?,93,#NAME?,1000,1,6
A04,Residential,Other,,New,93 or less,"1,000 or less",1 to 6,2009,60,,A,SEI,N,22.57,251.3,#NAME?,93,#NAME?,1000,1,6
A04,Commercial,Education,,New,4646 to 9290,"50,001 to 100,000",1 to 6,2011,60,,AB,SFEI,N,1875.47,245.92,4646,9290,500001,100000,1,6
A04,NonCommercial,Parking,North America,New,930 to 2323,"10,001 to 25,000",1 to 6,2009,,,A,Other,N,237,244.88,930,2323,10001,25000,1,6
A04,Residential,Other,,New,93 or less,"1,000 or less",1 to 6,2009,60,,A,SEI,N,15.52,244.38,#NAME?,93,#NAME?,1000,1,6
A04,Residential,Other,,New,93 or less,"1,000 or less",1 to 6,2009,60,,A,SEI,N,16.4,243.66,#NAME?,93,#NAME?,1000,1,6
A04,Commercial,Office,North America,New,18581 to 46451,"200,001 to 500,000",7 to 14,2011,60,,CD,SF,N,10978.08,237,18581,46451,200001,500000,7,14
A04,Commercial,Office,North America,New,18581 to 46451,"200,001 to 500,000",7 to 14,2011,60,,CD,SFE,N,9495.81,237,18581,46451,200001,500000,7,14
A04,Commercial,Office,North America,New,18581 to 46451,"200,001 to 500,000",7 to 14,2011,60,,CD,SF,N,10978.08,237,18581,46451,200001,500000,7,14
A04,Commercial,Office,North America,New,18581 to 46451,"200,001 to 500,000",7 to 14,2011,60,,CD,SFE,N,9449.48,237,18581,46451,200001,500000,7,14
A04,Commercial,Office,North America,New,18581 to 46451,"200,001 to 500,000",7 to 14,2011,60,,CD,Other,N,9264.2,232,18581,46451,200001,500000,7,14
A04,Commercial,Office,North America,New,18581 to 46451,"200,001 to 500,000",7 to 14,2011,60,,CD,Other,N,9217.88,232,18581,46451,200001,500000,7,14
A04,Commercial,Office,North America,New,46452 to 92903,"500,001 to 1 million",7 to 14,2011,60,,CD,SFE,N,9454.12,229.89,46452,92903,500001,1000000,7,14
A04,Commercial,Office,North America,New,46452 to 92903,"500,001 to 1 million",7 to 14,2011,60,,CD,SFE,N,9408.01,229.89,46452,92903,500001,1000000,7,14
A04,Residential,Other,,New,94 to 465,"1,001 to 5,000",1 to 6,2009,60,,A,SEI,N,25.28,227.73,94,465,1001,5000,1,6
A04,Residential,Other,,New,93 or less,"1,000 or less",1 to 6,2009,60,,A,SEI,N,17.84,226.43,#NAME?,93,#NAME?,1000,1,6
A04,Commercial,Office,North America,New,46452 to 92903,"500,001 to 1 million",7 to 14,2011,60,,CD,Other,N,9221.63,225,46452,92903,500001,1000000,7,14
A04,Commercial,Office,North America,New,46452 to 92903,"500,001 to 1 million",7 to 14,2011,60,,CD,Other,N,9032.88,222,46452,92903,500001,1000000,7,14
A04,Commercial,Public Assembly,North America,New,930 to 2323,"10,001 to 25,000",1 to 6,2008,,,A,SEI,N,386.91,209.14,930,2323,10001,25000,1,6
A04,,,,New,,,1 to 6,,,,A,S,N,,200,,,,,1,6
A04,Residential,Other,,New,93 or less,"1,000 or less",1 to 6,2009,60,,A,SEI,N,14.07,192.79,#NAME?,93,#NAME?,1000,1,6
A04,Commercial,Office,North America,New,18581 to 46451,"200,001 to 500,000",7 to 14,2011,60,,CD,SFE,N,9495.81,192,18581,46451,200001,500000,7,14
A04,Commercial,Office,North America,New,18581 to 46451,"200,001 to 500,000",7 to 14,2011,60,,CD,SF,N,8847.31,191,18581,46451,200001,500000,7,14
A04,Commercial,Office,North America,New,18581 to 46451,"200,001 to 500,000",7 to 14,2011,60,,CD,SFE,N,9495.81,191,18581,46451,200001,500000,7,14
A04,Commercial,Office,North America,New,18581 to 46451,"200,001 to 500,000",7 to 14,2011,60,,CD,SF,N,8847.31,191,18581,46451,200001,500000,7,14
A04,Commercial,Office,North America,New,46452 to 92903,"500,001 to 1 million",7 to 14,2011,60,,CD,SFE,N,9454.12,186.24,46452,92903,500001,1000000,7,14
A04,Commercial,Office,North America,New,46452 to 92903,"500,001 to 1 million",7 to 14,2011,60,,CD,SFE,N,9454.12,185.27,46452,92903,500001,1000000,7,14
A04,Residential,Other,,New,93 or less,"1,000 or less",1 to 6,2009,60,,A,SEI,N,16.31,183.66,#NAME?,93,#NAME?,1000,1,6
A04,Commercial,Office,North America,New,18581 to 46451,"200,001 to 500,000",7 to 14,2011,60,,CD,SFE,N,9125.24,183,18581,46451,200001,500000,7,14
A04,Commercial,Office,North America,New,18581 to 46451,"200,001 to 500,000",7 to 14,2011,60,,CD,Other,N,9078.92,183,18581,46451,200001,500000,7,14
A04,Residential,Other,,New,94 to 465,"1,001 to 5,000",1 to 6,2009,60,,A,SEI,N,18.84,181.12,94,465,1001,5000,1,6
A04,Commercial,Office,North America,New,4646 to 9290,"50,001 to 100,000",7 to 14,2011,60,,BD,SFEI,N,1720.39,181.06,4646,9290,500001,100000,7,14
A04,Commercial,Office,North America,New,4646 to 9290,"50,001 to 100,000",7 to 14,2011,60,,BD,SFEI,N,1697.02,178.54,4646,9290,500001,100000,7,14
A04,Commercial,Office,North America,New,46452 to 92903,"500,001 to 1 million",7 to 14,2011,60,,CD,Other,N,9060.94,177,46452,92903,500001,1000000,7,14
A04,Commercial,Office,North America,New,46452 to 92903,"500,001 to 1 million",7 to 14,2011,60,,CD,Other,N,9014.82,177,46452,92903,500001,1000000,7,14
A04,Residential,Other,,New,94 to 465,"1,001 to 5,000",1 to 6,2009,60,,A,SEI,N,26.26,176.72,94,465,1001,5000,1,6
A04,Commercial,Education,North America,New,4646 to 9290,"50,001 to 100,000",1 to 6,2009,,,A,S,N,935,175.05,4646,9290,500001,100000,1,6
A04,Residential,Other,North America,New,94 to 465,"1,001 to 5,000",1 to 6,2011,60,,CD,SFE,N,75.5,172,94,465,1001,5000,1,6
A04,Commercial,Education,North America,New,4646 to 9290,"50,001 to 100,000",1 to 6,2009,,,A,S,N,905,169.44,4646,9290,500001,100000,1,6
A04,Residential,Other,North America,New,94 to 465,"1,001 to 5,000",1 to 6,2011,60,,CD,SFE,N,69.24,156,94,465,1001,5000,1,6
A04,Commercial,Office,North America,New,4646 to 9290,"50,001 to 100,000",7 to 14,2011,60,,BD,SFEI,N,1379.55,150.23,4646,9290,500001,100000,7,14
A04,Residential,Other,North America,New,94 to 465,"1,001 to 5,000",1 to 6,2011,60,,CD,Other,N,87.14,149,94,465,1001,5000,1,6
A04,Residential,Other,North America,New,94 to 465,"1,001 to 5,000",1 to 6,2011,60,,CD,Other,N,70.37,149,94,465,1001,5000,1,6
A04,Commercial,Education,North America,New,9291 to 18580,"100,001 to 200,000",1 to 6,2009,,,A,S,N,2300,144,9291,18580,100001,200000,1,6
A04,Commercial,Education,North America,New,18581 to 46451,"200,001 to 500,000",1 to 6,2009,,,A,Other,N,5216,142.05,18581,46451,200001,500000,1,6
A04,Commercial,Office,North America,New,4646 to 9290,"50,001 to 100,000",7 to 14,2011,60,,BD,SFEI,N,1305.56,141.59,4646,9290,500001,100000,7,14
A04,Commercial,Education,North America,New,18581 to 46451,"200,001 to 500,000",1 to 6,2009,,,A,Other,N,5175,140.94,18581,46451,200001,500000,1,6
A04,Residential,Other,North America,New,94 to 465,"1,001 to 5,000",1 to 6,2011,60,,CD,Other,N,65.23,138,94,465,1001,5000,1,6
A04,Commercial,Office,North America,New,4646 to 9290,"50,001 to 100,000",7 to 14,2011,60,,BD,SFEI,N,1264.27,136.97,4646,9290,500001,100000,7,14
A04,Residential,Other,North America,New,94 to 465,"1,001 to 5,000",1 to 6,2011,60,,CD,SFE,N,66.87,133,94,465,1001,5000,1,6
A04,Commercial,Office,Asia-Pacific,New,2324 to 4645,"25,001 to 50,000",7 to 14,2008,60,,A,SFEI,N,446,130,2324,4645,25001,50000,7,14
A04,Commercial,Public Assembly,North America,New,930 to 2323,"10,001 to 25,000",1 to 6,2008,,,A,SEI,N,240.45,129.98,930,2323,10001,25000,1,6
A04,Residential,Other,North America,New,2324 to 4645,"25,001 to 50,000",1 to 6,2011,60,,CD,SFE,N,544.21,124,2324,4645,25001,50000,1,6
A04,Residential,Other,North America,New,2324 to 4645,"25,001 to 50,000",1 to 6,2011,60,,CD,SFE,N,538,122,2324,4645,25001,50000,1,6
A04,Residential,Other,North America,New,94 to 465,"1,001 to 5,000",1 to 6,2011,60,,CD,Other,N,77.12,119,94,465,1001,5000,1,6
A04,Residential,Other,North America,New,94 to 465,"1,001 to 5,000",1 to 6,2011,60,,CD,Other,N,63.75,119,94,465,1001,5000,1,6
A04,Residential,Other,North America,New,94 to 465,"1,001 to 5,000",1 to 6,2011,60,,CD,SFE,N,75.86,115.24,94,465,1001,5000,1,6
A04,Residential,Other,North America,New,94 to 465,"1,001 to 5,000",1 to 6,2011,60,,CD,SFE,N,60.62,114,94,465,1001,5000,1,6
A04,Residential,Other,North America,New,2324 to 4645,"25,001 to 50,000",1 to 6,2011,60,,CD,Other,N,500.29,110,2324,4645,25001,50000,1,6
A04,Residential,Other,North America,New,2324 to 4645,"25,001 to 50,000",1 to 6,2011,60,,CD,Other,N,497.21,109,2324,4645,25001,50000,1,6
A04,Commercial,Office,,New,9291 to 18580,"100,001 to 200,000",7 to 14,2006,30,,,SF,N,1264,108,9291,18580,100001,200000,7,14
A04,Residential,Other,North America,New,94 to 465,"1,001 to 5,000",1 to 6,2011,60,,CD,Other,N,58.84,106,94,465,1001,5000,1,6
A04,Residential,Other,North America,New,94 to 465,"1,001 to 5,000",1 to 6,2011,60,,CD,SFE,N,67.13,89.11,94,465,1001,5000,1,6
A04,Residential,Other,North America,New,2324 to 4645,"25,001 to 50,000",1 to 6,2011,60,,CD,SFE,N,427.6,87.4,2324,4645,25001,50000,1,6
A04,Residential,Other,North America,New,2324 to 4645,"25,001 to 50,000",1 to 6,2011,60,,CD,SFE,N,412.3,84,2324,4645,25001,50000,1,6
A04,Commercial,Office,,New,9291 to 18580,"100,001 to 200,000",7 to 14,2006,30,,,SF,N,963,82,9291,18580,100001,200000,7,14
A04,Residential,Other,North America,New,2324 to 4645,"25,001 to 50,000",1 to 6,2011,60,,CD,Other,N,410.66,82,2324,4645,25001,50000,1,6
A04,Residential,Other,North America,New,2324 to 4645,"25,001 to 50,000",1 to 6,2011,60,,CD,Other,N,399.75,80,2324,4645,25001,50000,1,6
A04,Commercial,Office,Asia-Pacific,New,2324 to 4645,"25,001 to 50,000",7 to 14,2008,60,,A,SFEI,N,245,70,2324,4645,25001,50000,7,14
A04,Commercial,Office,North America,New,4646 to 9290,"50,001 to 100,000",7 to 14,2011,60,,BD,SFEI,N,2438,,4646,9290,500001,100000,7,14
A04,Commercial,Office,North America,New,4646 to 9290,"50,001 to 100,000",7 to 14,2011,60,,BD,SFEI,N,1556,,4646,9290,500001,100000,7,14
A04,Residential,Other,Asia-Pacific,New,94 to 465,"1,001 to 5,000",1 to 6,2005,35,,BCD,SFEI,N,70,,94,465,1001,5000,1,6
A04,Residential,Other,Asia-Pacific,New,94 to 465,"1,001 to 5,000",1 to 6,2005,35,,BCD,SFEI,N,7,,94,465,1001,5000,1,6
A04,Commercial,Office,Asia-Pacific,New,930 to 2323,"10,001 to 25,000",7 to 14,1998,40,,C,SFEI,N,1164980,,930,2323,10001,25000,7,14
A04,Commercial,Office,Asia-Pacific,New,930 to 2323,"10,001 to 25,000",7 to 14,1998,40,,C,SFEI,N,856.44,,930,2323,10001,25000,7,14
A04,Commercial,Office,Asia-Pacific,New,930 to 2323,"10,001 to 25,000",7 to 14,1998,40,,C,SFEI,N,1067.78,,930,2323,10001,25000,7,14
A04,Commercial,Office,Asia-Pacific,New,930 to 2323,"10,001 to 25,000",7 to 14,1998,40,,C,SFEI,N,1168.64,,930,2323,10001,25000,7,14
A04,Commercial,Office,Asia-Pacific,New,930 to 2323,"10,001 to 25,000",7 to 14,1998,40,,C,SFEI,N,927.22,,930,2323,10001,25000,7,14
A04,Commercial,Office,Asia-Pacific,New,930 to 2323,"10,001 to 25,000",7 to 14,1998,40,,C,SFEI,N,1493.8,,930,2323,10001,25000,7,14
A04,Commercial,Office,Asia-Pacific,New,4646 to 9290,"50,001 to 100,000",7 to 14,1998,40,,C,SFEI,N,6681.82,,4646,9290,500001,100000,7,14
A04,Commercial,Office,Asia-Pacific,New,18581 to 46451,"200,001 to 500,000",7 to 14,1998,40,,C,SFEI,N,17925.96,,18581,46451,200001,500000,7,14
