Building Type,Building Use,Building Location Region,Building New or Renovation,Average Building Area in Square Meters,Average Building Storeys,Embodied Carbon Whole Building Excluding Operational
Commercial,Office,North America,New,13935.5,10.5,7700.0
Commercial,Office,North America,New,13935.5,10.5,8150.0
Commercial,Office,North America,New,6968.0,3.5,4010.0
Commercial,Office,North America,New,6968.0,3.5,4040.0
Commercial,Office,North America,New,6968.0,3.5,2787.0
Commercial,Office,North America,New,6968.0,3.5,2982.15
Commercial,Office,North America,New,6968.0,3.5,10700.0
Commercial,Office,North America,New,6968.0,3.5,11600.0
Commercial,Office,North America,New,6968.0,3.5,2520.0
Commercial,Office,North America,New,6968.0,3.5,2790.0
Commercial,Office,North America,New,13935.5,3.5,10700.0
Commercial,Office,North America,New,13935.5,3.5,10000.0
Commercial,Office,North America,New,32516.0,3.5,8660.0
Commercial,Office,North America,New,32516.0,3.5,8760.0
Commercial,Office,North America,New,13935.5,10.5,3302.17
Commercial,Office,North America,New,13935.5,10.5,3052.07
Commercial,Office,North America,New,6968.0,3.5,5330.0
Commercial,Office,North America,New,6968.0,3.5,4750.0
Commercial ,Office,North America,New,32516.0,3.5,3540.0
Commercial ,Office,North America,New,32516.0,3.5,3750.0
Commercial,Office,North America,New,32516.0,3.5,6040.0
Commercial,Office,North America,New,32516.0,3.5,4270.0
Commercial ,Office,North America,New,13935.5,10.5,3032.0
Commercial ,Office,North America,New,6968.0,3.5,2728.0
Commercial,Office,North America,New,6968.0,3.5,1530.0
Commercial,Office,North America,New,6968.0,3.5,904.0
Commercial,Office,North America,New,13935.5,10.5,4800.0
Commercial,Office,North America,New,13935.5,10.5,2990.0
Commercial,Office,North America,New,6968.0,3.5,2520.0
Commercial,Office,North America,New,6968.0,3.5,1810.0
Commercial,Office,North America,New,6968.0,3.5,2256.15
Commercial,Office,North America,New,6968.0,3.5,1303.1
Commercial,Office,North America,New,13935.5,3.5,7710.0
Commercial,Office,North America,New,13935.5,3.5,8070.0
Commercial,Office,North America,New,13935.5,3.5,5980.0
Commercial,Office,North America,New,13935.5,3.5,2370.0
Commercial,Office,North America,New,13935.5,3.5,5977.86
Commercial,Office,North America,New,13935.5,3.5,1793.36
Commercial,Warehouse,North America,New,13935.5,3.5,3296.81
Commercial,Warehouse,North America,New,13935.5,3.5,2774.43
Commercial ,Mixed,North America,New,6968.0,3.5,5083.8
Commercial,Mixed,North America,New,6968.0,3.5,4590.0
Residential ,Single-family,North America,New,279.5,3.5,370.0
Residential ,Single-family,North America,New,279.5,3.5,1010.0
