Building Type,Building Use,Building Location Region,Building New or Renovation,Average Building Area in Square Meters,Average Building Storeys,Embodied Carbon Whole Building Excluding Operational
Commercial,Office,North America,New,13935.5,3.5,228.93
Commercial,Office,North America,New,32516.0,20.0,225.7
Commercial,Other,North America,New,13935.5,10.5,205.02
Commercial,Office,North America,New,69677.5,3.5,158.63
Commercial,Office,Asia-Pacific,New,32516.0,10.5,159.4
Commercial,Public Order and Safety,Europe,New,69677.5,3.5,37511.0
Commercial,Education,Europe,New,1626.5,3.5,1145.0
Commercial,Office,Europe,New,6968.0,3.5,7510.0
Commercial,Office,Europe,Renovation,3484.5,10.5,85709.63
Residential,Other ,Europe,New,3484.5,10.5,84976.7
Residential,Other ,Europe,New,279.5,10.5,84243.77
Commercial,Education,Europe,New,13935.5,10.5,83510.84
Commercial,Office,Europe,New,6968.0,10.5,82777.9
Commercial,Mercantile,Europe,New,13935.5,10.5,82044.97
Residential,Other ,Europe,New,32516.0,10.5,81312.04
Commercial,Office,Europe,New,69677.5,10.5,80579.11
Commercial,Office,Europe,New,69677.5,10.5,79846.18
Commercial,Mixed,Europe,New,32516.0,3.5,36654.0
Commercial,Mixed,Europe,New,32516.0,10.5,79113.25
Commercial,Education,Europe,New,1626.5,10.5,78380.31
Commercial,Education,Europe,New,3484.5,10.5,77647.38
Commercial,Public Order and Safety,Europe,New,69677.5,10.5,76914.45
Residential,Other ,Europe,New,3484.5,10.5,76181.52
Residential,Other ,Europe,Renovation,3484.5,10.5,75448.59
Commercial,Office,Europe,New,46498.0,10.5,74715.66
Commercial,Office,Europe,New,46498.0,10.5,73982.72
Commercial,Office,Europe,New,46498.0,10.5,73249.79
Commercial,Office,Europe,New,46498.0,10.5,72516.86
Commercial,Office,Europe,New,46498.0,10.5,71783.93
Commercial,Office,Europe,New,46498.0,10.5,71051.0
Commercial,Public Assembly,Europe,New,32516.0,10.5,20825.0
Commercial,Office,Europe,New,46498.0,10.5,70318.06
Commercial,Office,Europe,New,46498.0,10.5,69585.13
Commercial,Public Assembly,Europe,New,32516.0,10.5,68852.2
Commercial,Mixed,Europe,New,32516.0,10.5,68119.27
Commercial,Mixed,Europe,New,32516.0,10.5,67386.34
Commercial,Mixed,Europe,New,32516.0,10.5,66653.41
Commercial,Mixed,Europe,New,32516.0,10.5,65920.47
Commercial,Mixed,Europe,New,32516.0,10.5,65187.54
Commercial,Office,Europe,Renovation,3484.5,10.5,64454.61
Residential,Other ,Europe,New,3484.5,10.5,63721.68
Residential,Other ,Europe,New,279.5,10.5,62988.75
Commercial,Education,Europe,New,13935.5,10.5,62255.82
Commercial,Office,Europe,New,6968.0,10.5,61522.88
Commercial,Mercantile,Europe,New,13935.5,10.5,60789.95
Residential,Other ,Europe,New,32516.0,10.5,60057.02
Commercial,Office,Europe,New,69677.5,10.5,59324.09
Residential,Other ,Europe,New,3484.5,10.5,1919.0
Commercial,Office,Europe,New,69677.5,10.5,58591.16
Commercial,Mixed,Europe,New,32516.0,10.5,57858.22
Commercial,Education,Europe,New,1626.5,10.5,57125.29
Commercial,Education,Europe,New,3484.5,10.5,56392.36
Commercial,Public Order and Safety,Europe,New,69677.5,10.5,55659.43
Residential,Other ,Europe,New,3484.5,10.5,54926.5
Residential,Other ,Europe,Renovation,3484.5,10.5,54193.57
Commercial,Office,Europe,New,46498.0,10.5,53460.63
Commercial,Office,Europe,New,46498.0,10.5,52727.7
Commercial,Office,Europe,New,46498.0,10.5,51994.77
Commercial,Office,Europe,New,46498.0,10.5,51261.84
Commercial,Office,Europe,Renovation,3484.5,10.5,1896.0
Commercial,Office,Europe,New,46498.0,10.5,50528.91
Commercial,Office,Europe,New,46498.0,10.5,49795.98
Commercial,Office,Europe,New,46498.0,10.5,49063.04
Commercial,Office,Europe,New,46498.0,10.5,48330.11
Commercial,Public Assembly,Europe,New,32516.0,10.5,47597.18
Commercial,Mixed,Europe,New,32516.0,10.5,46864.25
Commercial,Mixed,Europe,New,32516.0,10.5,46131.32
Commercial,Mixed,Europe,New,32516.0,10.5,45398.38
Commercial,Mixed,Europe,New,32516.0,10.5,44665.45
Commercial,Mixed,Europe,New,32516.0,10.5,43932.52
Commercial,Office,Europe,Renovation,3484.5,10.5,43199.59
Residential,Other ,Europe,New,3484.5,10.5,42466.66
Residential,Other ,Europe,New,279.5,10.5,41733.73
Commercial,Education,Europe,New,13935.5,10.5,41000.79
Commercial,Office,Europe,New,6968.0,10.5,40267.86
Commercial,Mercantile,Europe,New,13935.5,10.5,39534.93
Residential,Other ,Europe,New,32516.0,10.5,38802.0
Commercial,Office,Europe,New,69677.5,10.5,38069.07
Commercial,Office,Europe,New,69677.5,10.5,37336.14
Commercial,Mixed,Europe,New,32516.0,10.5,36603.2
Commercial,Education,Europe,New,1626.5,10.5,35870.27
Commercial,Education,Europe,New,3484.5,10.5,35137.34
Commercial,Public Order and Safety,Europe,New,69677.5,10.5,34404.41
Residential,Other ,Europe,New,3484.5,10.5,33671.48
Residential,Other ,Europe,Renovation,3484.5,10.5,32938.55
Commercial,Office,Europe,New,46498.0,10.5,32205.61
Commercial,Office,Europe,New,46498.0,10.5,31472.68
Commercial,Office,Europe,New,46498.0,10.5,30739.75
Commercial,Office,Europe,New,46498.0,10.5,30006.82
Commercial,Office,Europe,New,46498.0,10.5,29273.89
Commercial,Office,Europe,New,46498.0,10.5,28540.95
Commercial,Office,Europe,New,46498.0,10.5,27808.02
Commercial,Office,Europe,New,46498.0,10.5,27075.09
Commercial,Public Assembly,Europe,New,32516.0,10.5,26342.16
Commercial,Mixed,Europe,New,32516.0,10.5,25609.23
Commercial,Mixed,Europe,New,32516.0,10.5,24876.3
Commercial,Mixed,Europe,New,32516.0,10.5,24143.36
Commercial,Mixed,Europe,New,32516.0,10.5,23410.43
Commercial,Mixed,Europe,New,32516.0,10.5,22677.5
Commercial,Office,Europe,Renovation,3484.5,10.5,21944.57
Residential,Other ,Europe,New,3484.5,10.5,21211.64
Commercial,Education,Europe,New,3484.5,3.5,1470.0
Commercial,Mixed,Europe,New,32516.0,10.5,6761.0
Commercial,Mixed,Europe,New,32516.0,10.5,6096.0
Commercial,Mixed,Europe,New,32516.0,10.5,5745.0
Commercial,Mixed,Europe,New,32516.0,10.5,5505.0
Residential,Other ,Europe,New,3484.5,10.5,787.0
Commercial,Mixed,Europe,New,32516.0,10.5,4672.0
Residential,Other ,Europe,New,279.5,3.5,101.0
Commercial,Office,Europe,New,46498.0,25.0,0.07
Commercial,Office,Europe,New,46498.0,25.0,0.07
Commercial,Office,Europe,New,46498.0,25.0,0.07
Commercial,Office,Europe,New,46498.0,10.5,0.05
Commercial,Office,Europe,New,46498.0,25.0,0.05
Residential,Other ,Europe,Renovation,3484.5,10.5,163.0
Commercial,Office,Europe,New,46498.0,10.5,0.03
Commercial,Office,Europe,New,46498.0,10.5,0.03
Commercial,Office,Europe,New,46498.0,10.5,0.01
Commercial,Office,Europe,New,69677.5,25.0,69959.0
Commercial,Office,Europe,New,69677.5,10.5,43461.0
Residential,Other ,Europe,New,32516.0,10.5,15157.0
Commercial,Mercantile,Europe,New,13935.5,3.5,9229.0
Commercial,Education,North America,New,697.5,3.5,1817.19
Commercial,Other,North America,New,1626.5,3.5,2591.6
Commercial,Mixed,Middle East,New,92903.0,25.0,1464614.4
Commercial,Education,North America,New,6968.0,3.5,10038.34
Commercial,Health Care,North America,New,1626.5,3.5,3005.46
Commercial,Public Assembly,North America,New,1626.5,3.5,1956.5
Commercial,Other,North America,New,697.5,3.5,1703.31
Commercial,Health Care,North America,New,13935.5,10.5,29839.7
Commercial,Public Assembly,North America,New,32516.0,3.5,51961.89
Commercial,Public Assembly,North America,New,32516.0,3.5,51819.84
Commercial,Other,North America,New,3484.5,3.5,5863.36
Commercial,Education,North America,New,1626.5,3.5,3877.71
Commercial,Other,North America,New,697.5,3.5,1389.5
Commercial,Other,North America,New,69677.5,3.5,90802.09
Commercial,Education,North America,New,1626.5,3.5,1602.4
Commercial,Education,North America,New,1626.5,3.5,1602.4
Commercial,Public Assembly,North America,New,1626.5,3.5,1602.4
Commercial,Public Assembly,North America,New,1626.5,3.5,1589.93
Commercial,Health Care,North America,New,13935.5,3.5,14378.87
Commercial,Other,North America,New,3484.5,3.5,6585.33
Commercial,Other,North America,New,6968.0,3.5,11266.57
Commercial,Other,North America,New,6968.0,3.5,12850.99
Commercial,Office,North America,New,3484.5,3.5,3315.22
Commercial,Education,North America,New,697.5,3.5,745.34
Commercial,Mixed,North America,New,697.5,3.5,813.35
Commercial,Other,Middle East,New,6968.0,3.5,8105.5
Commercial,Health Care,North America,New,32516.0,3.5,25946.88
Commercial,Other,North America,New,13935.5,3.5,11907.76
Commercial,Public Assembly,North America,New,13935.5,3.5,20400.97
Commercial,Education,North America,New,13935.5,10.5,13221.53
Commercial,Other,North America,New,92903.0,25.0,164992.79
Commercial,Office,North America,New,1626.5,20.0,1441.51
Commercial,Education,North America,New,1626.5,3.5,2020.09
Commercial,Education,Asia-Pacific,New,1626.5,3.5,1713.59
Commercial,Mixed,Middle East,New,92903.0,25.0,582994.7
Commercial,Education,North America,New,697.5,3.5,937.36
Residential,Other,North America,New,279.5,3.5,384.53
Commercial,Education,North America,New,3484.5,3.5,2538.54
Commercial,Other,North America,New,3484.5,3.5,4252.63
Commercial,Health Care,North America,New,13935.5,3.5,13097.06
Residential,Multi-family,North America,New,6968.0,10.5,5511.87
Commercial,Education,North America,New,6968.0,3.5,5563.2
Commercial,Public Assembly,North America,New,32516.0,10.5,18987.05
Commercial,Education,North America,New,3484.5,3.5,4008.35
Commercial,Other,North America,New,13935.5,3.5,9478.56
Commercial,Public Assembly,North America,New,13935.5,3.5,12238.59
Commercial,Education,North America,New,1626.5,3.5,1509.35
Commercial,Education,North America,New,1626.5,3.5,896.57
Commercial,Other,North America,New,3484.5,3.5,3236.64
Commercial,Mixed,Middle East,New,32516.0,25.0,37419.57
Commercial,Education,North America,New,13935.5,3.5,10022.02
Commercial,Other,North America,New,3484.5,3.5,1907.32
Commercial,Lodging,North America,New,1626.5,3.5,801.2
Commercial,Education,North America,New,1626.5,3.5,801.2
Commercial,Education,North America,New,1626.5,3.5,801.2
Commercial,Education,North America,New,697.5,3.5,720.27
Commercial,Health Care,North America,New,6968.0,3.5,6613.55
Commercial,Public Assembly,North America,New,32516.0,3.5,23515.14
Commercial,Other,North America,New,32516.0,3.5,26807.74
Residential,Other,North America,New,697.5,10.5,713.47
Commercial,Education,North America,New,13935.5,3.5,7854.63
Commercial,Other,North America,New,32516.0,3.5,16178.57
Commercial,Public Assembly,Europe,New,6968.0,25.0,6129.54
Commercial,Education,North America,New,6968.0,3.5,3509.87
Commercial,Public Assembly,North America,New,13935.5,3.5,11953.07
Commercial,Other,North America,New,279.5,3.5,280.93
Commercial,Education,North America,New,32516.0,10.5,24494.68
Residential,Other,North America,New,32516.0,25.0,23304.25
Commercial,Health Care,North America,New,6968.0,3.5,4361.23
Commercial,Public Assembly,North America,New,6968.0,3.5,3931.39
Commercial,Education,North America,New,3484.5,3.5,1710.07
Commercial,Education,North America,New,3484.5,3.5,2589.03
Commercial,Public Assembly,North America,New,1626.5,3.5,935.09
Commercial,Other,Europe,New,3484.5,3.5,1871.13
Residential,Other,Asia-Pacific,New,92903.0,25.0,61423.88
Commercial,Public Assembly,Middle East,New,32516.0,25.0,15702.58
Commercial,Health Care,North America,New,6968.0,3.5,3511.13
Commercial,Education,North America,New,697.5,3.5,491.75
Commercial,Public Assembly,North America,New,13935.5,3.5,10784.19
Commercial,Education,North America,New,13935.5,3.5,7892.93
Commercial,Education,North America,New,32516.0,3.5,18219.27
Commercial,Mixed,Middle East,New,69677.5,25.0,33832.59
Commercial,Public Assembly,North America,New,3484.5,3.5,2548.85
Commercial,Mixed,North America,New,32516.0,10.5,18674.77
Commercial,Education,North America,New,1626.5,3.5,1320.5
Commercial,Education,North America,New,6968.0,3.5,2764.98
Commercial,Education,North America,New,6968.0,3.5,3130.56
Commercial,Public Assembly,Middle East,New,13935.5,3.5,7980.0
