Project_Type,Building_Use_Type,Building_Use_Subtype,Continent,Country,City,Gross_Floor_Area,Total_Users,Floors_Above_Ground,Floors_Below_Ground,Structure_Type,Roof_Type,Mass_Wood,Mass_Straw_Hemp,Mass_Fungi,Mass_Brass_Copper,Mass_Earth,Mass_Bamboo,Mass_Glass,Mass_Stone,Mass_Stone_Wool,Mass_Ceramics,Mass_Metals,Mass_Plastics,Mass_Steel_Reinforcement,Mass_EPS_XPS,Mass_Aluminium,Mass_Concrete_Without_Reinforcement,Mass_Other,Mass_Concrete_With_Reinforcement,Mass_Cement_Mortar,Total_Carbon
New construction,Non-residential,Office,Europe,Sweden,Gävle,3537.0,122.62520658175754,4.0,0.29819596376104623,massive concrete,Gable or saddle roof,23820.0,0.0,0.0,0.0,0.0,0.0,44130.0,0.0,0.0,0.0,60270.0,0.0,0.0,0.0,0.0,0.0,0.0,3004250.0,87270.0,0.0
New construction,Non-residential,Office,Europe,Sweden,Gävle,3537.0,122.62520658175754,4.0,0.29819596376104623,massive concrete,Gable or saddle roof,23820.0,0.0,0.0,0.0,0.0,0.0,44130.0,0.0,0.0,0.0,60270.0,0.0,0.0,0.0,0.0,0.0,0.0,3004250.0,87270.0,0.0
New construction,Non-residential,Office,Europe,Sweden,Gävle,3537.0,122.62520658175754,4.0,0.29819596376104623,massive concrete,Gable or saddle roof,23820.0,0.0,0.0,0.0,0.0,0.0,44130.0,0.0,0.0,0.0,60270.0,0.0,0.0,0.0,0.0,0.0,0.0,3004250.0,87270.0,0.0
New construction,Non-residential,Office,Europe,Sweden,Gävle,3537.0,122.62520658175754,4.0,0.29819596376104623,massive concrete,Gable or saddle roof,23820.0,0.0,0.0,0.0,0.0,0.0,44130.0,0.0,0.0,0.0,60270.0,0.0,0.0,0.0,0.0,0.0,0.0,3004250.0,87270.0,0.0
New construction,Non-residential,Office,Europe,Sweden,Gävle,3537.0,122.62520658175754,4.0,0.29819596376104623,massive concrete,Gable or saddle roof,23820.0,0.0,0.0,0.0,0.0,0.0,44130.0,0.0,0.0,0.0,60270.0,0.0,0.0,0.0,0.0,0.0,0.0,3004250.0,87270.0,0.0
New construction,Non-residential,Office,Europe,Sweden,Gävle,3537.0,122.62520658175754,4.0,0.29819596376104623,massive concrete,Gable or saddle roof,23820.0,0.0,0.0,0.0,0.0,0.0,44130.0,0.0,0.0,0.0,60270.0,0.0,0.0,0.0,0.0,0.0,0.0,3004250.0,87270.0,0.0
New construction,Non-residential,Office,Europe,Sweden,Gävle,3537.0,122.62520658175754,4.0,0.29819596376104623,massive concrete,Gable or saddle roof,23820.0,0.0,0.0,0.0,0.0,0.0,44130.0,0.0,0.0,0.0,60270.0,0.0,0.0,0.0,0.0,0.0,0.0,3004250.0,87270.0,0.0
New construction,Residential,missing,Europe,France,France,5186.649491702775,134.29292116571565,4.108533078644717,0.313645903285487,massive concrete,Flat roof,43348.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18808.65,16739.6,0.0,0.0,0.0,430176.65,0.0,7860629.0,0.0,0.0
New construction,Residential,missing,Europe,France,France,5186.649491702775,134.29292116571565,4.108533078644717,0.313645903285487,massive concrete,Flat roof,82873.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86487.0,10295.7,0.0,0.0,0.0,1589018.5,0.0,10606168.0,0.0,0.0
New construction,Residential,missing,Europe,France,France,5186.649491702775,134.29292116571565,4.108533078644717,0.313645903285487,massive concrete,Flat roof,40187.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11280.5,7438.2,0.0,0.0,0.0,0.0,0.0,271482.9,0.0,1962856.5,0.0,0.0
New construction,Residential,missing,Europe,France,France,5186.649491702775,134.29292116571565,4.108533078644717,0.313645903285487,frame concrete,Flat roof,104622.0,0.0,0.0,0.0,0.0,0.0,0.0,322910.0,0.0,0.0,0.0,35442.3,0.0,0.0,0.0,536158.5,0.0,8842297.0,0.0,0.0
New construction,Residential,missing,Europe,France,France,5186.649491702775,134.29292116571565,4.108533078644717,0.313645903285487,frame concrete,Flat roof,34330.1,0.0,0.0,0.0,0.0,0.0,0.0,104794.0,0.0,75498.0,0.0,0.0,0.0,0.0,0.0,284817.78,0.0,3064178.4,0.0,0.0
New construction,Residential,missing,Europe,France,France,5186.649491702775,134.29292116571565,4.108533078644717,0.313645903285487,massive concrete,Flat roof,24595.11,0.0,0.0,0.0,0.0,0.0,0.0,267920.0,0.0,295025.0,0.0,0.0,0.0,0.0,0.0,77080.8,0.0,1397475.5,0.0,0.0
New construction,Residential,missing,Europe,France,France,5186.649491702775,134.29292116571565,4.108533078644717,0.313645903285487,massive concrete,Flat roof,53540.72,0.0,0.0,0.0,0.0,0.0,0.0,53540.72,10888.3,0.0,0.0,0.0,0.0,0.0,0.0,185489.8,0.0,413075.0,0.0,0.0
New construction,Residential,missing,Europe,France,France,5186.649491702775,134.29292116571565,4.108533078644717,0.313645903285487,massive concrete,Flat roof,16884.5,0.0,0.0,0.0,0.0,0.0,0.0,243300.0,18111.7,0.0,0.0,0.0,0.0,0.0,0.0,413387.5,0.0,3827175.0,0.0,0.0
New construction,Residential,missing,Europe,France,France,5186.649491702775,134.29292116571565,4.108533078644717,0.313645903285487,frame concrete,Flat roof,17552.53,0.0,0.0,0.0,0.0,0.0,0.0,31822.0,26741.2,0.0,0.0,0.0,0.0,0.0,0.0,321071.25,0.0,5356654.5,0.0,0.0
New construction,Residential,missing,Europe,France,Auxone,5186.649491702775,134.29292116571565,4.108533078644717,0.313645903285487,frame concrete,missing,4706.5,0.0,0.0,0.0,0.0,0.0,0.0,69729.0,0.0,48605.0,0.0,0.0,0.0,0.0,0.0,44097.75,0.0,108782.0,0.0,0.0
New construction,Residential,missing,Europe,France,Bois d´Arcy,5186.649491702775,134.29292116571565,4.108533078644717,0.313645903285487,massive wood,missing,53925.0,0.0,0.0,0.0,0.0,0.0,0.0,29715.0,0.0,0.0,81616.0,0.0,0.0,0.0,0.0,0.0,0.0,249600.0,156516.0,0.0
New construction,Residential,missing,Europe,France,Billom,5186.649491702775,134.29292116571565,4.108533078644717,0.313645903285487,frame concrete,missing,56910.0,0.0,0.0,0.0,0.0,0.0,0.0,29715.0,0.0,0.0,7696.0,0.0,0.0,0.0,0.0,138611.56,0.0,337000.0,0.0,0.0
New construction,Residential,missing,Europe,France,Souille,5186.649491702775,134.29292116571565,4.108533078644717,0.313645903285487,massive brick,missing,4590.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9167.0,2200.0,0.0,0.0,0.0,0.0,0.0,0.0,64585.0,0.0,0.0
New construction,Residential,missing,Europe,France,La Chapelle Themer,5186.649491702775,134.29292116571565,4.108533078644717,0.313645903285487,massive brick,missing,3132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51623.0,610.0,0.0,0.0,0.0,0.0,0.0,0.0,104808.0,44645.0,0.0
New construction,Residential,missing,Europe,France,Baillet,5186.649491702775,134.29292116571565,4.108533078644717,0.313645903285487,massive concrete,missing,2416.0,0.0,0.0,0.0,0.0,0.0,0.0,11310.0,0.0,0.0,18887.0,0.0,0.0,0.0,0.0,0.0,0.0,111795.0,98155.0,0.0
New construction,Residential,missing,Europe,France,Lemuy,5186.649491702775,134.29292116571565,4.108533078644717,0.313645903285487,massive brick,missing,2637.0,0.0,0.0,0.0,0.0,0.0,0.0,43200.0,0.0,27780.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59898.0,25300.0,0.0
New construction,Residential,missing,Europe,France,La Colle Sur Loup,5186.649491702775,134.29292116571565,4.108533078644717,0.313645903285487,massive concrete,Flat roof,1260.0,0.0,0.0,0.0,0.0,0.0,0.0,29000.0,0.0,0.0,43815.0,0.0,0.0,0.0,0.0,0.0,0.0,112045.0,94040.0,0.0
New construction,Residential,missing,Europe,France,Gigean,5186.649491702775,134.29292116571565,4.108533078644717,0.313645903285487,massive concrete,missing,5198.0,0.0,0.0,0.0,0.0,0.0,0.0,1632.0,0.0,6408.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117516.0,56410.0,0.0
New construction,Residential,missing,Europe,France,Montbeliard,5186.649491702775,134.29292116571565,4.108533078644717,0.313645903285487,massive brick,Flat roof,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11600.0,0.0,62697.0,2312.0,0.0,0.0,0.0,0.0,0.0,0.0,124492.0,43009.0,0.0
New construction,Residential,missing,Europe,France,Saint Gilles Croix de Vie,5186.649491702775,134.29292116571565,4.108533078644717,0.313645903285487,massive brick,missing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13422.0,0.0,56592.0,368.0,0.0,0.0,0.0,0.0,0.0,0.0,59027.0,30855.0,0.0
New construction,Non-residential,Office,Europe,Austria,Vienna,12682.0,204.29925959214538,5.0,0.3958634728901429,massive brick,Flat roof,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6985592.0,0.0,6309207.0,642417.0,0.0
New construction,Non-residential,Office,Europe,Austria,Vienna,2355.0,349.48554630401577,8.0,1.0,massive wood,Flat roof,137759.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,485070.0,0.0,1525072.0,0.0,0.0
New construction,Non-residential,School and Daycare,Europe,Germany,Hohen Neuendorf,7414.0,53.93253362183785,2.0,0.26729755628106694,massive concrete,Flat roof,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,378000.0,0.0,0.0,0.0,0.0,0.0,905000.0,9528000.0,0.0,0.0
New construction,Non-residential,School and Daycare,Europe,Germany,Diedorf,17292.0,164.60520900025475,2.0,1.0,massive wood,Gable or saddle roof,1150000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,622000.0,0.0,0.0,0.0,0.0,0.0,0.0,11184000.0,0.0,0.0
New construction,Non-residential,Office,Europe,Denmark,missing,33000.0,481.54668790169694,6.0,2.0,frame concrete,Flat roof,0.0,0.0,0.0,0.0,0.0,0.0,1014920.3,0.0,761190.23,0.0,4059681.2,0.0,0.0,0.0,0.0,0.0,7104442.1,38566971.4,0.0,0.0
New construction,Residential,Multi-family house,Asia,South Korea,Seoul ,5040.0,132.28976107502262,4.075761506192955,0.311772109338291,frame concrete,Flat roof,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8700000.0,1000000.0,0.0
New construction,Non-residential,Office,Europe,Austria,Vienna,10526.25,600.5256417421886,11.0,2.0,frame concrete,Flat roof,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20321297.0,0.0,0.0
New construction,Residential,Multi-family house,Europe,Sweden,Sollentuna,7126.7591127798505,180.57303650874948,5.0,0.35460844175328077,massive concrete,Flat roof,90000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120000.0,0.0,0.0,0.0,0.0,150000.0,0.0,12528540.0,115000.0,0.0
New construction,Residential,Multi-family house,Europe,Sweden,Sollentuna,7126.7591127798505,180.57303650874948,5.0,0.35460844175328077,massive concrete,Flat roof,85000.0,0.0,0.0,0.0,0.0,0.0,50000.0,0.0,0.0,0.0,105000.0,0.0,0.0,0.0,0.0,0.0,0.0,11470490.0,0.0,0.0
