Building_Project_Type,Country,Primary_Foundation_Type,Primary_Ground_Floor_Type,Primary_Vertical_Element_Type,Primary_Horizontal_Element_Type,Primary_Slab_Type,Primary_Cladding_Type,Primary_Heating_Type,Primary_Cooling_Type,Primary_Finishes_Type,Primary_Ventilation_Type,Total_Embodied_Carbon
Retrofit,UNITED KINGDOM,Corbels,Unknown,Steel,Timber,Hybrid,Masonry Only,Air Source Heat Pump (ASHP) - Water distribution,Chiller - Air distribution,Shell and core,Mixed mode,0.9166666666666663
Retrofit,UNITED KINGDOM,Corbels,Unknown,Steel,Timber,Hybrid,Masonry Only,Air Source Heat Pump (ASHP) - Water distribution,Chiller - Air distribution,Shell and core,Mixed mode,0.9166666666666663
Retrofit,UNITED KINGDOM,Corbels,Unknown,Steel,Timber,Hybrid,Masonry Only,Air Source Heat Pump (ASHP) - Water distribution,Chiller - Air distribution,Shell and core,Mixed mode,0.9166666666666663
Retrofit,UNITED KINGDOM,Corbels,Unknown,Steel,Timber,Hybrid,Masonry Only,Air Source Heat Pump (ASHP) - Water distribution,Chiller - Air distribution,Shell and core,Mixed mode,0.9166666666666663
Retrofit,UNITED KINGDOM,Corbels,Unknown,Steel,Timber,Hybrid,Masonry Only,Air Source Heat Pump (ASHP) - Water distribution,Chiller - Air distribution,Shell and core,Mixed mode,0.9166666666666663
Retrofit,UNITED KINGDOM,Corbels,Unknown,Steel,Timber,Hybrid,Masonry Only,Air Source Heat Pump (ASHP) - Water distribution,Chiller - Air distribution,Shell and core,Mixed mode,0.9166666666666663
Retrofit,UNITED KINGDOM,Corbels,Unknown,Steel,Timber,Hybrid,Masonry Only,Air Source Heat Pump (ASHP) - Water distribution,Chiller - Air distribution,Shell and core,Mixed mode,0.9166666666666663
Retrofit,UNITED KINGDOM,Corbels,Unknown,Steel,Timber,Hybrid,Masonry Only,Air Source Heat Pump (ASHP) - Water distribution,Chiller - Air distribution,Shell and core,Mixed mode,0.9166666666666663
Retrofit,UNITED KINGDOM,Corbels,Unknown,Steel,Timber,Hybrid,Masonry Only,Air Source Heat Pump (ASHP) - Water distribution,Chiller - Air distribution,Shell and core,Mixed mode,0.9166666666666663
New built,missing,Piles (pile caps),Suspended,Steel,Steel,Concrete,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,45.741142857142854
New built,missing,Piles (pile caps),Suspended,Steel,Steel,Concrete,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,45.741142857142854
New built,missing,Piles (pile caps),Suspended,Steel,Steel,Concrete,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,45.741142857142854
New built,missing,Piles (pile caps),Suspended,Steel,Steel,Concrete,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,45.741142857142854
New built,missing,Piles (pile caps),Suspended,Steel,Steel,Concrete,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,45.741142857142854
New built,missing,Piles (pile caps),Suspended,Steel,Steel,Concrete,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,45.741142857142854
New built,missing,Piles (pile caps),Suspended,Steel,Steel,Concrete,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,45.741142857142854
New built,missing,Piles (pile caps),Suspended,Steel,Steel,Concrete,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,45.741142857142854
