Unique ID,Material,Sub-material,Quantity of declared unit,Units of declared unit,Weight per declared unit - kg,Density of material - kg per m3,Density range - low - kg per m3,Density Range - high - kg per m3,Carbon sequestration included?,Carbon Storage Amount (Kg CO2 per unit),Embodied Carbon (kg CO2e per declared unit),Embodied Carbon per kg (kg CO2e per kg)
0aba7254-f32b-430b-ab51-8f48005535df,Concrete,"Concrete, PAV 2",1,m3,2385,2385, , , , ,329.7225043,0.1382
733bccba-2d55-478b-b43f-e7c5e088bfc3,Concrete,"Concrete, by cementitious content",1,m3,2380,2380, , , , ,123.8613808,0.052
0fa119c1-76aa-4f74-99f7-01eba7c3c3cd,Concrete,"Concrete, by cementitious content",1,m3,2380,2380, , , , ,142.2966046,0.0598
934a719b-6bb5-42c9-9ea3-a1e7eb6ad16e,Concrete,"Concrete, by cementitious content",1,m3,2380,2380, , , , ,160.7318284,0.0675
1f14662a-37c8-42d4-9a4d-bd169c913b73,Concrete,"Concrete, by cementitious content",1,m3,2380,2380, , , , ,179.1670522,0.0753
b342eab4-5bce-46e3-ba61-ef7520f16b2c,Concrete,"Concrete, by cementitious content",1,m3,2380,2380, , , , ,197.602276,0.083
0ad4ab98-be39-407c-963f-671aee6a56f5,Concrete,"Concrete, by cementitious content",1,m3,2380,2380, , , , ,216.0374998,0.0908
d16e0024-72cc-4b13-9e18-6c8491196eb6,Concrete,"Concrete, by cementitious content",1,m3,2380,2380, , , , ,234.4727236,0.0985
bb153132-1d99-4be2-bb41-da18d6c1978e,Concrete,"Concrete, by cementitious content",1,m3,2380,2380, , , , ,252.9079473,0.1063
7c2726b4-fc0c-4eb2-8a47-fa6282944400,Concrete,"Concrete, by cementitious content",1,m3,2380,2380, , , , ,271.5022716,0.1141
b7e9dd67-7ab5-40b5-a7fc-1f6b0e4eda81,Concrete,"Concrete, by cementitious content",1,m3,2380,2380, , , , ,290.1210728,0.1219
78ba7f65-6eb6-4b40-8774-b9ac09de581c,Concrete,"Concrete, by cementitious content",1,m3,2380,2380, , , , ,308.764351,0.1297
a8186762-7f32-42b7-9128-3bb5e18b507a,Concrete,"Concrete, by cementitious content",1,m3,2380,2380, , , , ,327.4321062,0.1376
63f8c247-bab3-4610-be5a-1242bc101510,Concrete,"Concrete, by cementitious content",1,m3,2380,2380, , , , ,346.1243384,0.1454
67f890e9-b86e-411d-a6f3-b08d46fcc1a3,Concrete,"Concrete, by cementitious content",1,m3,2380,2380, , , , ,364.6207547,0.1532
290988a4-f335-4fa6-924d-1d1984f50a9d,Concrete,"Concrete, by cementitious content",1,m3,2380,2380, , , , ,383.1171709,0.161
eaeff917-93a4-4b54-a886-1cae91105722,Concrete,"Concrete, by cementitious content",1,m3,2380,2380, , , , ,401.6135872,0.1687
8337ed24-39c3-480d-bd00-fa00709a100f,Concrete,"Concrete, by cementitious content",1,m3,2380,2380, , , , ,420.1100035,0.1765
5afdfed0-a010-4e3f-8505-8976a57a2abe,Concrete,"Concrete, by cementitious content",1,m3,2380,2380, , , , ,438.6064198,0.1843
