Building_Use_Type,Building_Use_Subtype,Continent,Building_Project_Type,Gross_Floor_Area_m2,Floors_Above_Ground,Total_Embodied_Carbon_PER_m2
0,8,2,0,6968.0,10.5,549.15
0,4,2,0,13935.5,10.5,545.43
1,10,2,0,32516.0,10.5,541.7
0,8,2,0,69677.5,10.5,537.98
1,10,2,0,3484.5,10.5,536.48
0,8,2,0,69677.5,10.5,534.25
0,5,2,0,32516.0,10.5,530.53
0,0,2,0,1626.5,10.5,526.81
0,0,2,0,3484.5,10.5,523.08
0,13,2,0,69677.5,10.5,519.36
1,10,2,0,3484.5,10.5,515.63
1,10,2,1,3484.5,10.5,511.91
0,8,2,0,46498.0,10.5,508.18
0,8,2,0,46498.0,10.5,504.46
0,8,2,0,46498.0,10.5,500.74
0,8,2,0,46498.0,10.5,497.01
0,8,2,1,3484.5,10.5,496.21
0,8,2,0,46498.0,10.5,493.29
0,8,2,0,46498.0,10.5,489.56
0,8,2,0,46498.0,10.5,485.84
0,8,2,0,46498.0,10.5,482.12
0,12,2,0,32516.0,10.5,478.39
0,5,2,0,32516.0,10.5,474.67
0,5,2,0,32516.0,10.5,470.94
0,5,2,0,32516.0,10.5,467.22
0,5,2,0,32516.0,10.5,463.49
0,5,2,0,32516.0,10.5,459.77
0,8,2,1,3484.5,10.5,456.05
1,10,2,0,3484.5,10.5,452.32
1,10,2,0,279.5,10.5,448.6
0,0,2,0,13935.5,10.5,444.87
0,8,2,0,6968.0,10.5,441.15
0,4,2,0,13935.5,10.5,437.42
1,10,2,0,32516.0,10.5,433.7
0,8,2,0,69677.5,10.5,429.98
0,8,2,0,69677.5,10.5,426.25
0,5,2,0,32516.0,10.5,422.53
0,0,2,0,1626.5,10.5,418.8
0,0,2,0,3484.5,10.5,415.08
0,13,2,0,69677.5,10.5,411.36
1,10,2,0,3484.5,10.5,407.63
1,10,2,1,3484.5,10.5,403.91
0,8,2,0,46498.0,10.5,400.18
0,8,2,0,46498.0,10.5,396.46
0,8,2,0,46498.0,10.5,392.73
0,8,2,0,46498.0,10.5,389.01
0,8,2,0,46498.0,10.5,385.29
0,8,2,0,46498.0,10.5,381.56
0,8,2,0,46498.0,10.5,377.84
0,8,2,0,46498.0,10.5,374.11
0,12,2,0,32516.0,10.5,370.39
0,5,2,0,32516.0,10.5,366.66
0,5,2,0,32516.0,10.5,362.94
0,5,2,0,32516.0,10.5,359.22
0,5,2,0,32516.0,10.5,355.49
0,5,2,0,32516.0,10.5,351.77
0,8,2,1,3484.5,10.5,348.04
1,10,2,0,3484.5,10.5,344.32
0,0,2,0,3484.5,3.5,341.86
0,5,2,0,32516.0,10.5,303.39
0,5,2,0,32516.0,10.5,273.55
0,5,2,0,32516.0,10.5,257.8
0,5,2,0,32516.0,10.5,247.03
1,10,2,0,3484.5,10.5,220.02
0,5,2,0,32516.0,10.5,209.65
1,10,2,0,279.5,3.5,200.0
0,0,2,0,13935.5,3.5,100.0
0,8,2,0,46498.0,25.0,70.0
0,8,2,0,46498.0,25.0,70.0
0,8,2,0,46498.0,25.0,70.0
0,8,2,0,46498.0,10.5,50.0
0,8,2,0,46498.0,25.0,50.0
1,10,2,1,3484.5,10.5,42.66
0,8,2,0,46498.0,10.5,30.0
0,8,2,0,46498.0,10.5,30.0
0,8,2,0,46498.0,10.5,10.0
0,0,4,0,6968.0,3.5,950.0
0,12,4,0,32516.0,10.5,935.0
0,0,4,0,3484.5,3.5,927.0
0,9,4,0,13935.5,3.5,910.0
0,12,4,0,13935.5,3.5,910.0
0,0,4,0,1626.5,3.5,876.0
0,0,4,0,1626.5,3.5,873.0
0,9,4,0,3484.5,3.5,871.0
0,5,3,0,32516.0,25.0,870.0
0,0,4,0,13935.5,3.5,863.0
0,9,4,0,3484.5,3.5,820.0
0,3,4,0,1626.5,3.5,802.0
0,0,4,0,1626.5,3.5,802.0
0,0,4,0,1626.5,3.5,802.0
