Building_Project_Type,Primary_Foundation_Type,Primary_Ground_Floor_Type,Primary_Vertical_Element_Type,Primary_Horizontal_Element_Type,Primary_Slab_Type,Primary_Cladding_Type,Primary_Heating_Type,Primary_Cooling_Type,Primary_Finishes_Type,Primary_Ventilation_Type,Total_Embodied_Carbon_PER_m2
2,3,2,1,1,5,5,3,4,2,3,235.53956148713056
2,3,2,1,1,5,5,3,4,2,3,235.53956148713056
2,3,2,1,1,5,5,3,4,2,3,235.53956148713056
2,3,2,1,1,5,5,3,4,2,3,235.53956148713056
2,3,2,1,1,5,5,3,4,2,3,235.53956148713056
2,3,2,1,1,5,5,3,4,2,3,235.53956148713056
2,3,2,1,1,5,5,3,4,2,3,235.53956148713056
0,3,3,1,1,4,2,2,2,2,2,7.366449511400651
0,3,3,1,1,4,2,2,2,2,2,7.366449511400651
0,3,3,1,1,4,2,2,2,2,2,7.366449511400651
0,3,3,1,1,4,2,2,2,2,2,7.366449511400651
0,3,3,1,1,4,2,2,2,2,2,7.366449511400651
0,3,3,1,1,4,2,2,2,2,2,7.366449511400651
0,3,3,1,1,4,2,2,2,2,2,7.366449511400651
0,3,3,1,1,4,2,2,2,2,2,7.366449511400651
0,3,3,1,1,4,2,2,2,2,2,7.366449511400651
0,3,3,1,1,4,2,2,2,2,2,7.366449511400651
0,3,3,1,1,4,2,2,2,2,2,7.366449511400651
0,3,3,1,1,4,2,2,2,2,2,7.366449511400651
0,3,3,1,1,4,2,2,2,2,2,7.366449511400651
