Building Public ID,Building Type,Building Use,Building Location Region,Building New or Renovation,Building Area in Square Meters,Building Area in Square Feet,Building Storeys,Life Cycle Assessment Year,Life Cycle Assessment Reference Period,Life Cycle Assessment Source Code,Life Cycle Assessment Stages,Life Cycle Assessment Building Scope,Life Cycle Assessment Material Quantity,Embodied Carbon Whole Building Excluding Operational,Embodied Carbon Life Cycle Assessment Area Per Square Meter,Minimum Building Area in Square Meters,Maximum Building Area in Square Meters,Minimum Building Area in Square Feet,Maximum Building Area in Square Feet,Minimum Building Storeys,Maximum Building Storeys
A00,Residential,Multi-family,Asia-Pacific,New,18581 to 46451,"200,001 to 500,000",15 to 25,2016.0,40.0,41.0,AB,SF,Y,615.94,511.46,18581.0,46451.0,200001,500000.0,15.0,25.0
A00,Commercial,Other,North America,New,46452 to 92903,"500,001 to 1 million",7 to 14,2016.0,40.0,41.0,AB,SF,Y,634.04,511.39,46452.0,92903.0,500001,1000000.0,7.0,14.0
A00,Commercial,Mixed use,Europe,New,46452 to 92903,"500,001 to 1 million",More than 25,2016.0,40.0,41.0,AB,SF,Y,653.81,505.26,46452.0,92903.0,500001,1000000.0,25.0,1000000000.0
A00,Commercial,Office,Asia-Pacific,New,46452 to 92903,"500,001 to 1 million",15 to 25,2016.0,40.0,41.0,AB,SF,Y,651.81,503.81,46452.0,92903.0,500001,1000000.0,15.0,25.0
A00,Commercial,Other,Asia-Pacific,New,46452 to 92903,"500,001 to 1 million",1 to 6,2016.0,40.0,41.0,AB,SF,Y,601.58,501.89,46452.0,92903.0,500001,1000000.0,1.0,6.0
A00,Commercial,Other,Asia-Pacific,New,18581 to 46451,"200,001 to 500,000",1 to 6,2016.0,40.0,41.0,AB,SF,Y,639.32,493.88,18581.0,46451.0,200001,500000.0,1.0,6.0
A00,Commercial,Office,Asia-Pacific,New,18581 to 46451,"200,001 to 500,000",7 to 14,2016.0,40.0,41.0,AB,SF,Y,570.98,492.23,18581.0,46451.0,200001,500000.0,7.0,14.0
A00,Commercial,Office,Asia-Pacific,New,Over 92903,Over 1 million,7 to 14,2016.0,40.0,41.0,AB,SF,Y,560.63,491.75,92903.0,1000000000.0,1000000,inf,7.0,14.0
A00,Commercial,Office,Asia-Pacific,New,46452 to 92903,"500,001 to 1 million",More than 25,2016.0,40.0,41.0,AB,SF,Y,637.23,491.74,46452.0,92903.0,500001,1000000.0,25.0,1000000000.0
A00,Commercial,Office,Asia-Pacific,New,Over 92903,Over 1 million,More than 25,2016.0,40.0,41.0,AB,SF,Y,634.29,490.19,92903.0,1000000000.0,1000000,inf,25.0,1000000000.0
